date,l7mp/stunnerd,l7mp/stunner-gateway-operator,coturn/coturn
2025-02-19,101187,149996,7288132
2025-02-20,101399,150126,7291143
2025-02-21,101574,150238,7293739
2025-02-22,101764,150362,7296297
2025-02-23,101875,150429,7298479
2025-02-24,102026,150542,7300877
2025-02-25,102269,150678,7303812
2025-02-26,102482,150900,7306776
2025-02-27,102696,151150,7309623
2025-02-28,102878,151323,7312523
2025-03-01,103124,151491,7315219
2025-03-02,103277,151651,7317660
2025-03-03,103507,151786,7320126
2025-03-04,103834,151987,7322878
2025-03-05,104204,152203,7325698
2025-03-06,104482,152357,7328529
2025-03-07,104774,152515,7330906
2025-03-08,105100,152642,7333213
2025-03-09,105213,152710,7335314
2025-03-10,105383,152835,7337705
2025-03-11,105814,153011,7340327
2025-03-12,106121,153149,7342895
2025-03-13,106491,153343,7345595
2025-03-14,106813,153510,7348189
2025-03-15,107012,153633,7350918
2025-03-16,107154,153755,7353282
2025-03-17,107318,153869,7355919
2025-03-18,107572,154033,7358637
2025-03-19,107914,154239,7361504
2025-03-20,108234,154417,7364935
2025-03-21,108476,154574,7367875
2025-03-22,108638,154681,7370559
2025-03-23,108736,154801,7373032
2025-03-24,108871,154918,7375672
2025-03-25,109207,155092,7378426
2025-03-26,109439,155236,7381316
2025-03-27,109706,155380,7384231
2025-03-28,109929,155534,7387010
2025-03-29,110138,155641,7389340
2025-03-30,110269,155733,7391539
2025-03-31,110404,155824,7394122
2025-04-01,110805,155981,7396878
2025-04-02,111243,156251,7399497
2025-04-03,111678,156469,7402573
2025-04-04,111937,156647,7405243
2025-04-05,112202,156805,7407682
2025-04-06,112385,156888,7409873
2025-04-07,112492,156970,7412473
2025-04-08,112828,157202,7415364
2025-04-09,113195,157385,7418050
2025-04-10,113692,157624,7420926
2025-04-11,114172,157846,7423444
2025-04-12,114411,158008,7425784
2025-04-13,114556,158103,7428416
2025-04-14,114743,158220,7430823
2025-04-15,115169,158448,7433596
2025-04-16,115666,158693,7436284
2025-04-17,116030,158887,7439026
